Cluster	Sample_Count	Samples	Has_PopPIPE_Data
1_76	448	GCF_001976185_1_Thailand;GCF_900593265_1_Thailand;GCF_900593605_1_Thailand;GCF_900593795_1_Thailand;GCF_900594995_1_Thailand;GCA_963563415_1;GCA_963561905_1;GCA_963569895_1;GCF_001198755_2_Singapore;GCA_963574035_1;GCF_900592725_1_Thailand;GCA_963568165_1;GCA_963570275_1;GCA_963568685_1;GCA_963560895_1;GCA_963568375_1;GCA_963569315_1;GCA_963572405_1;GCA_963571155_1;GCF_003547055_1_Malaysia;GCF_900595065_1_Thailand;GCA_963571225_1;GCA_963571315_1;GCF_900591295_1_Thailand;GCA_963566645_1;GCA_963569335_1;GCA_963566295_1;GCA_963564595_1;GCA_963566185_1;GCA_963566555_1;GCA_963566145_1;GCA_963564315_1;GCA_963565005_1;GCA_963560515_1;GCF_900594205_1_Thailand;GCF_900596415_1_Thailand;GCA_963569095_1;GCA_963560645_1;GCF_900595285_1_Thailand;GCA_963569455_1;GCA_963567575_1;GCF_900593925_1_Thailand;GCF_001446175_1_missing;GCA_963569065_1;GCA_963567875_1;GCF_900591585_1_Thailand;GCA_900595295_2;SRR12527884-SPAdes;GCF_900597855_1_Thailand;GCF_900595335_1_Thailand;GCA_963569075_1;GCA_963565995_1;GCF_900594985_2_Thailand;GCA_963568875_1;GCA_963571085_1;GCF_900591785_1_Thailand;GCF_001977645_1_Thailand_Ubon;GCF_001976405_1_Thailand;ERS012326;GCF_900594415_1_Thailand;GCA_001198755_2;GCF_002888115_1_Thailand;GCA_963562895_1;GCA_963562905_1;GCA_963563825_1;GCA_963568255_1;GCA_963570555_1;SRR12527870-SPAdes;GCF_001207055_1_Singapore;GCF_001976175_1_unknown;GCA_963573055_1;GCA_963564265_1;GCF_025847455_1_Viet_Nam;GCA_963561415_1;SRR12527872-SPAdes;GCA_963562125_1;GCF_900596455_1_Thailand;ERS012361;GCA_963572865_1;GCA_963562835_1;GCA_963561025_1;GCF_900595115_1_Thailand;GCA_900594985_2;GCA_963567465_1;ERS012371;GCA_963570495_1;GCF_900591285_1_Thailand;GCF_001445875_1_missing;GCA_963563655_1;GCF_900595075_1_Thailand;GCA_963563675_1;GCA_963568275_1;GCA_963570055_1;GCF_001320645_1_Singapore;GCF_900593465_1_Thailand;GCF_900595265_1_Thailand;SRR12527869-SPAdes;GCF_900594765_1_Thailand;GCA_963563585_1;GCA_963560425_1;GCA_963563015_1;GCF_001976465_1_Thailand;GCA_963563455_1;GCF_001320285_1_Singapore;GCA_001209325_2;SRR12527867-SPAdes;ERS012360;GCF_900593495_1_Thailand;GCF_001976165_1_unknown;ERS013356;GCA_963561485_1;GCF_000756145_1_Thailand_Ubon_Ratchathani;GCF_001976565_1_Thailand;GCF_900591435_1_Thailand;GCF_001320465_1_Singapore;GCF_902141795_1_missing;GCF_001976925_1_Thailand_Ubon;GCF_900594445_1_Thailand;GCF_900595245_1_Thailand;GCF_900595675_1_Thailand;GCA_963570735_1;GCF_001976625_1_Thailand;GCA_963562135_1;GCA_963561615_1;GCA_963567135_1;GCA_963569835_1;GCA_963569345_1;GCA_963562085_1;GCA_963561495_1;GCA_963564505_1;GCF_000757185_1_unknown;GCF_025847585_1_Viet_Nam;GCF_900592185_1_Thailand;GCF_001207035_1_Singapore;GCA_963564805_1;GCA_963569275_1;GCA_963561715_1;GCA_963569465_1;GCA_963568335_1;GCA_963562055_1;GCA_963568745_1;GCF_032803925_1_Malaysia_Kelantan;GCF_900595255_1_Thailand;GCA_963570855_1;GCA_963566245_1;GCA_963561845_1;GCF_000756125_1_Thailand;GCF_001327375_2_Singapore;GCA_963560485_1;GCF_027856935_2_China_Hong_Kong;GCF_900595365_1_Thailand;GCA_963565555_1;GCF_001976265_1_Thailand;GCF_900594795_1_Thailand;GCA_963572035_1;GCA_963571815_1;SRR12527866-SPAdes;GCA_963563335_1;GCF_900595305_1_Thailand;GCF_021083455_1_USA_Texas;GCF_900592615_1_Thailand;GCA_963572185_1;GCA_963572835_1;GCF_900597825_1_Thailand;GCA_963564565_1;ERS013359;GCA_963568535_1;GCA_963571865_1;GCA_963571305_1;GCA_963560435_1;GCA_900597565_2;GCA_963569385_1;GCF_025848355_1_Viet_Nam;ERS012345;GCA_963572515_1;GCF_900596405_1_Thailand;GCA_963570175_1;GCA_963572425_1;GCF_900596425_1_Thailand;GCA_963571775_1;SRR12527874-SPAdes;GCA_963569695_1;GCA_963568715_1;GCF_001203735_1_Singapore;GCA_963563095_1;GCA_963566275_1;GCF_900597565_2_Thailand;GCA_963571505_1;GCF_900591745_1_Thailand;GCA_963566885_1;GCF_028620395_1_missing;GCA_963563345_1;GCF_900592245_1_Thailand;GCA_963561515_1;GCF_027856895_2_China_Hong_Kong;GCA_963563115_1;GCA_963560695_1;GCA_963564915_1;GCF_001976245_1_Thailand;GCF_001327195_1_Singapore;GCA_963572065_1;GCA_963566535_1;GCA_963565735_1;GCF_902141835_1_missing;GCA_963560775_1;GCA_963561155_1;SRR12527888-SPAdes;GCF_900596695_1_Thailand;GCA_963563465_1;GCF_001976385_1_Thailand;SRR12527868-SPAdes;GCF_900595005_1_Thailand;GCA_963564425_1;GCA_963570035_1;GCF_900595185_1_Thailand;GCA_963563145_1;GCA_963568925_1;GCF_900591385_1_Thailand;GCA_963571515_1;GCF_900592555_1_Thailand;GCF_900592745_1_Thailand;GCA_963572395_1;GCA_963571635_1;GCA_963566975_1;GCF_900595055_1_Thailand;GCF_900597525_1_Thailand;GCF_032804105_1_Malaysia_Kelantan;GCF_032804185_1_Malaysia_Kelantan;GCA_963562745_1;GCF_900595165_1_Thailand;GCA_963561575_1;GCF_900596445_1_Thailand;ERS012304;GCA_963567455_1;GCF_002860065_1_Hong_Kong;GCF_900596475_1_Thailand;GCA_963573045_1;GCF_900591955_1_Thailand;GCF_900596435_1_Thailand;GCA_963565825_1;GCA_963560565_1;GCA_963573075_1;GCA_963567525_1;GCA_963572915_1;GCA_963568225_1;GCF_900591965_1_Thailand;GCA_963569015_1;ERS012378;GCA_963572695_1;GCA_900598705_2;GCF_900591415_1_Thailand;GCF_900597785_2_Thailand;GCF_900596655_1_Thailand;GCF_900595295_2_Thailand;GCA_963569805_1;GCA_963569845_1;GCA_963566775_1;GCA_900597785_2;GCA_963560685_1;GCA_963564095_1;ERS012367;GCA_963561295_1;GCA_963569925_1;GCF_002880925_1_Thailand;GCF_002881035_1_Malaysia;GCA_963562215_1;GCA_963560875_1;GCA_963564255_1;GCA_963565945_1;GCA_963572965_1;GCF_900595325_1_Thailand;GCF_001320585_1_Singapore;GCF_900596485_1_Thailand;GCF_900595225_1_Thailand;GCF_001193375_1_Singapore;GCA_963569575_1;GCA_963562495_1;GCA_963563055_1;GCF_900593155_1_Thailand;GCA_963571835_1;GCF_000294635_1_China_Baoting_Town_Hainan;GCF_032804165_1_Malaysia_Kelantan;GCF_001326995_1_Singapore;ERS013349;GCF_900597795_1_Thailand;GCA_963572355_1;GCF_900595015_1_Thailand;GCA_963566315_1;GCA_963567695_1;GCA_963560825_1;GCF_001327475_2_Singapore;GCA_963563285_1;GCA_963569865_1;GCF_001210025_1_Singapore;GCA_963568265_1;GCA_963562505_1;GCF_900593665_1_Thailand;GCA_963564925_1;GCA_963572595_1;GCA_963561045_1;GCA_963562955_1;GCA_963572505_1;GCF_900597805_1_Thailand;GCF_900592895_1_Thailand;GCA_963564825_1;GCA_963568415_1;ERS013357;GCA_963569595_1;GCA_001326955_2;GCA_963566385_1;GCA_963560925_1;GCF_002803595_1_Viet_Nam;GCF_001209325_2_Singapore;GCA_963570875_1;GCA_963562485_1;GCA_963569105_1;GCF_001980965_1_Thailand;GCF_025847535_1_Viet_Nam;GCA_963571605_1;GCF_900596395_2_Thailand;GCF_001199035_1_Singapore;GCA_963569395_1;GCF_001197355_2_Singapore;GCA_963570745_1;GCF_001320755_1_Singapore;GCF_000193475_1_Thailand_Bangkok;GCA_001327375_2;GCA_963567155_1;GCA_963564875_1;GCA_963572545_1;GCA_963572645_1;GCA_963572005_1;GCA_963563705_1;GCA_963568815_1;GCF_900597815_1_Thailand;GCA_963565985_1;GCF_900595375_1_Thailand;GCA_963563645_1;GCF_900598705_2_Thailand;GCA_963565725_1;GCF_001320795_1_Singapore;GCF_900595205_1_Thailand;GCA_963561465_1;GCA_963563385_1;GCA_963569255_1;GCA_963560765_1;GCF_032804065_1_Malaysia_Kelantan;ERS012353;GCF_900593545_1_Thailand;ERS012373;GCF_001208265_1_Singapore;GCA_963564635_1;GCA_963571675_1;GCA_963561475_1;GCF_001327275_1_Singapore;GCA_963570135_1;GCA_963565975_1;GCA_900596395_2;GCF_000015925_1_missing;GCA_963561935_1;GCA_963561995_1;SRR12527887-SPAdes;GCA_963568825_1;GCA_963565045_1;GCA_963565525_1;GCF_001327575_1_Singapore;GCA_963564485_1;GCF_001320105_1_Singapore;GCA_963569305_1;GCA_963568675_1;GCA_963561225_1;GCF_009741295_1_Viet_Nam;GCA_963561815_1;GCF_002245325_2_South_Korea_Osong;GCF_900597895_1_Thailand;GCF_001976395_1_unknown;GCF_001446115_1_missing;GCA_001327475_2;GCA_963569035_1;GCA_963563665_1;SRR12527873-SPAdes;GCA_963567515_1;GCF_900595035_1_Thailand;GCF_027856615_2_China_Hong_Kong;GCA_963569505_1;SRR12527876-SPAdes;GCA_963570805_1;GCF_001209525_1_Singapore;GCA_963563135_1;GCA_963572725_1;GCA_963570675_1;GCA_963572195_1;GCA_963572495_1;GCA_963560865_1;ERS012346;GCA_963567865_1;GCA_963567295_1;GCF_900593445_1_Thailand;GCA_963565965_1;GCA_963571995_1;GCF_001212265_1_Singapore;GCF_900595355_1_Thailand;GCA_963564385_1;GCF_001977725_1_Thailand_Ubon;GCF_001204455_1_Singapore;GCA_963560445_1;GCF_003547035_1_Malaysia;GCA_963565715_1;GCF_900595045_1_Thailand;GCA_963567095_1;GCA_963572175_1;GCA_963573145_1;GCF_002881015_1_Thailand;GCA_963570665_1;GCA_963572055_1;GCA_963563295_1;GCF_001980915_1_Thailand;GCA_963565265_1;GCA_963563725_1;GCA_963567565_1;GCF_900595345_1_Thailand;GCF_027853935_2_China_Hong_Kong;GCF_001202895_1_Singapore;SRR12527865-SPAdes;GCA_963566415_1;GCA_963567165_1;GCA_963569205_1;GCA_963563575_1;GCA_963569185_1;GCA_963562515_1;GCF_001976415_1_unknown;GCF_900595025_1_Thailand;GCA_963563595_1;GCF_900595215_1_Thailand;GCA_001207785_2;GCA_963566095_1;GCF_900596465_1_Thailand;GCF_001976645_1_Thailand;GCF_900595315_1_Thailand;GCA_963564335_1;GCA_963572155_1;GCA_001197355_2;GCA_963562145_1;GCA_963561455_1;GCA_963564555_1;GCA_963563965_1;GCA_963570565_1;GCA_963565405_1	True
2	65	GCA_963568005_1;GCA_963563475_1;GCF_001980755_1_Thailand;IP-0105;IP-0190;IP-0064;IP-0049;IP-0169;IP-0136;GCA_963566695_1;IP-0108;IP-0138;IP-0175;GCA_963566635_1;IP-0001;GCA_963569325_1;IP-0068;IP-0130;IP-0010;GCA_963564375_1;GCA_963566625_1;GCA_963568785_1;IP-0083;GCA_963565565_1;IP-0093;IP-0002;IP-0102;GCF_000259815_1_Thailand;IP-0026;GCA_900596305_2;IP-0059;GCA_963561735_1;IP-0069;IP-0146;IP-0155;GCA_963561975_1;IP-0041;GCA_963562695_1;IP-0057;GCA_963560735_1;IP-0036;GCA_963566175_1;IP-0185;IP-0067;GCA_963571475_1;GCA_963565125_1;IP-0070;IP-0024;IP-0109;GCA_963564975_1;GCA_963565015_1;IP-0117;GCA_963572995_1;IP-0080;IE-0011;GCA_963573025_1;GCF_001980725_1_Thailand;IE-0003;IP-0004;IP-0007;IP-0128;GCA_963570575_1;IP-0104;GCF_000259795_1_Thailand;GCA_963571005_1	True
20	61	IP-0072;GCA_963563635_1;GCA_963566765_1;IP-0183;GCA_963563175_1;GCA_963568285_1;GCA_963568515_1;GCA_963565365_1;GCA_963572665_1;GCA_963560955_1;GCA_963568505_1;GCA_963561755_1;GCA_963565275_1;GCA_963561875_1;GCA_963570355_1;GCA_963561325_1;GCA_963563355_1;GCA_963564235_1;GCA_963562305_1;GCA_963565515_1;GCA_963567145_1;GCA_963568935_1;GCA_963571915_1;GCA_963561595_1;GCA_963567225_1;GCA_963568315_1;GCA_963571535_1;GCA_963562425_1;GCF_900594365_1_Thailand;GCA_963565325_1;GCA_963561315_1;GCA_963567845_1;GCF_900592285_1_Thailand;GCA_963562385_1;GCF_900593955_1_Thailand;GCA_963568365_1;GCA_963567715_1;GCA_963567905_1;GCA_963568205_1;GCA_963565095_1;GCA_963563935_1;GCA_963565335_1;GCA_963569195_1;GCF_900592605_1_Thailand;GCA_963561885_1;GCF_001981185_1_Thailand;GCA_963562945_1;GCA_963568395_1;GCA_963572335_1;GCA_963570715_1;GCA_963562365_1;GCA_963563975_1;GCA_963569535_1;GCA_963567505_1;GCA_963566255_1;GCF_001981195_1_Thailand;GCA_963562785_1;GCA_963563915_1;GCA_963572845_1;GCA_963567195_1;GCA_963562665_1	True
21	19	GCA_963566495_1;GCA_963561895_1;IP-0192;GCA_963569795_1;GCF_900591895_1_Thailand;GCA_900597865_2;GCF_900597905_1_Thailand;GCF_900597945_1_Thailand;GCF_900597925_1_Thailand;GCF_900597875_1_Thailand;GCF_900595625_1_Thailand;GCF_001976975_1_Thailand_Ubon;GCA_963572905_1;GCF_001977575_1_Thailand_Ubon;GCF_900595685_1_Thailand;GCA_963571325_1;GCA_963569995_1;GCF_900597865_2_Thailand;GCF_900597885_1_Thailand	True
22	18	IP-0087;IP-0134;IP-0103;ERS013364;GCF_900593775_1_Thailand;GCA_963563225_1;GCA_963567105_1;GCA_963563945_1;GCA_963568755_1;GCA_963570685_1;GCF_900591655_1_Thailand;GCA_963568735_1;GCF_900592345_1_Thailand;GCA_963570755_1;GCF_025848375_1_Viet_Nam;GCA_963560655_1;GCA_963563875_1;GCA_963561605_1	True
23	7	IP-0045;IP-0157;IP-0166;GCF_003798365_1_Thailand_Ubon_Ratchathani;GCF_001976545_1_Thailand;GCA_963566375_1;GCF_001327415_1_United_Kingdom	True
24	24	IP-0112;IP-0013;IP-0199;GCF_001327175_1_Singapore;ERS012344;GCF_001327135_2_Malaysia;ERS012305;GCF_001327095_1_Singapore;GCF_001199735_1_Singapore;GCF_004360075_1_France_Nice;ERS012318;GCF_001320185_1_Singapore;GCF_004360045_1_France_Nice;ERS012343;GCF_001320545_1_Singapore;ERS013351;GCF_001199855_1_Singapore;GCF_001320505_1_Singapore;ERS012321;GCF_001203375_1_Singapore;GCF_001211385_1_Singapore;GCF_001262275_1_Singapore;GCA_001327135_2;ERS012325	True
25_41_72	20	GCA_963561405_1;GCF_900593255_1_Thailand;GCA_963563235_1;GCA_963561005_1;GCA_963569525_1;GCA_963572325_1;GCF_900592435_1_Thailand;GCA_963570065_1;GCA_963569765_1;GCF_001976655_1_Thailand;GCF_900592235_1_Thailand;GCF_900591685_1_Thailand;GCA_963561055_1;GCA_963566865_1;GCA_963560975_1;GCF_900591255_1_Thailand;GCF_900594325_1_Thailand;GCF_900591555_1_Thailand;GCA_963566965_1;GCF_900591985_1_Thailand	True
27	7	GCA_963571845_1;GCA_963561565_1;GCA_963564305_1;GCA_963572945_1;GCA_963570365_1;GCA_963570235_1;GCA_963570455_1	True
28	6	GCA_963560945_1;IP-0058;IP-0078;GCA_963569515_1;GCA_963566755_1;GCA_963570845_1	True
2_29_30_48_68_112_119	216	GCA_963571625_1;GCF_900596275_1_Thailand;GCA_963570125_1;GCF_000454685_1_missing;GCA_963562755_1;GCF_000454665_1_missing;GCF_001977095_1_Thailand;GCF_003420645_1_United_Kingdom_London;GCA_963567795_1;GCF_900592935_1_Thailand;GCA_963570295_1;GCF_900594395_1_Thailand;GCA_963562525_1;GCA_963570385_1;GCA_963561825_1;GCA_963562035_1;GCA_963563045_1;GCF_900592665_1_Thailand;GCA_963565195_1;GCA_963566795_1;GCF_900593325_1_Thailand;GCF_900593435_1_Thailand;GCA_963561805_1;GCF_900596325_1_Thailand;GCA_963560555_1;GCA_963570795_1;GCA_963563565_1;GCF_900591705_1_Thailand;GCA_963568625_1;GCF_900594065_1_Thailand;GCF_900592455_1_Thailand;GCA_963573115_1;GCA_963569555_1;GCF_001976725_1_Thailand;GCA_963562395_1;GCF_000464685_1_missing;GCA_963562535_1;GCA_963566345_1;GCA_963569915_1;GCA_963560815_1;GCF_001327395_1_Thailand;ERS013361;GCA_963562975_1;GCA_963570205_1;GCA_963572685_1;GCA_963571415_1;GCF_000454645_1_missing;GCA_963568085_1;GCA_963570915_1;GCA_963569045_1;GCF_900594225_1_Thailand;GCF_900596345_1_Thailand;GCA_963563085_1;GCA_963562045_1;GCA_963564125_1;GCA_963570145_1;GCA_963568155_1;GCA_963564215_1;GCA_963569055_1;GCF_000959285_1_Thailand_Mahidol_University_Siriraj_Hospital_and_Mahidol-Oxford_Research_Unit;GCA_963564455_1;GCF_002887895_1_Thailand;GCF_003420695_1_United_Kingdom_Exeter;GCA_963562185_1;GCA_963569545_1;GCA_963560335_1;GCA_963572485_1;GCA_963573245_1;GCA_963571465_1;GCF_900596335_1_Thailand;GCA_963569725_1;GCA_963568865_1;GCA_963571485_1;GCA_963564465_1;GCA_963564995_1;GCA_963560495_1;GCA_963572415_1;GCF_001977475_1_Thailand_Ubon;GCF_900592265_1_Thailand;GCF_002880855_1_Thailand;GCF_000454605_1_missing;GCA_963571145_1;GCF_032658185_1_Thailand__Udonthani;GCF_900596365_1_Thailand;GCA_963568175_1;GCF_032658165_1_Thailand_Udonthani;GCF_900592075_1_Thailand;GCF_900592735_1_Thailand;GCA_963561275_1;GCA_963567665_1;GCA_963566465_1;GCA_963562555_1;GCA_963563005_1;GCA_963565505_1;GCA_963568845_1;GCA_963562825_1;GCA_963573615_1;GCF_000454585_1_missing;GCF_028878445_1_NA;GCA_963562995_1;GCA_963572895_1;GCF_900596305_2_Thailand;GCA_963569825_1;GCA_963570375_1;GCA_963568115_1;GCA_963571035_1;GCA_963571965_1;GCA_963570645_1;GCA_963572345_1;GCF_003432445_1_United_Kingdom_Salisbury;GCA_963562775_1;GCA_963566075_1;GCA_963572885_1;GCA_963560705_1;GCA_963571075_1;GCA_963567305_1;GCA_963570005_1;GCA_963570505_1;GCF_000011545_1_missing;GCA_963572315_1;GCA_963572145_1;GCA_963565575_1;GCA_963560475_1;GCA_963569975_1;GCA_963565425_1;GCA_963561085_1;GCA_963569235_1;GCA_963569415_1;GCA_963565415_1;GCF_900593355_1_Thailand;GCA_963562815_1;GCA_963560275_1;GCA_963565545_1;GCF_900593975_1_Thailand;GCF_900593965_1_Thailand;GCA_963560855_1;GCA_963561095_1;GCA_963570225_1;GCA_963568325_1;GCA_963568495_1;BX571965;GCF_900592675_1_Thailand;GCA_963566895_1;GCA_963562985_1;GCA_963568975_1;GCA_963566805_1;GCF_900591485_1_Thailand;GCF_900593625_1_Thailand;GCF_900591425_1_Thailand;GCA_963563615_1;GCA_963563865_1;GCA_963563505_1;GCA_963565105_1;GCA_963560595_1;GCA_963566045_1;GCF_900596385_1_Thailand;GCA_963571445_1;GCA_963564025_1;GCA_963572135_1;GCF_900594265_1_Thailand;GCA_963571875_1;GCF_900596355_1_Thailand;GCA_963565865_1;GCF_000350505_1_missing;GCA_963562195_1;GCA_963570435_1;GCA_963570635_1;GCA_963570775_1;GCA_963569655_1;GCA_963570965_1;GCA_963562475_1;GCA_963571855_1;GCA_963563775_1;GCF_003420685_1_United_Kingdom_Salisbury;GCA_963566785_1;GCA_963570285_1;GCF_001976575_1_Thailand;GCA_963572085_1;GCA_963568065_1;GCF_000454565_1_missing;GCF_001976755_1_Thailand;GCA_963568795_1;GCA_963571265_1;GCF_000454705_1_missing;GCA_963570245_1;GCF_900596375_1_Thailand;GCA_963561445_1;GCA_963570625_1;GCA_963570265_1;GCA_963571255_1;GCA_963571395_1;GCF_900596315_1_Thailand;GCF_000454625_1_missing;GCA_963570305_1;GCA_963569145_1;GCF_001976895_1_Thailand_Ubon;GCA_963562375_1;GCF_900593585_1_Thailand;GCA_963569215_1;GCA_963570415_1;GCA_963560455_1;GCA_963568665_1;GCA_963570345_1;GCA_963560545_1;GCA_963566595_1;GCA_963564985_1;GCA_963569085_1;GCA_963569475_1;GCA_963562065_1;GCF_900591315_1_Thailand;GCA_963562115_1;GCA_963562075_1;GCA_963565955_1;GCA_963573005_1;GCF_900592765_1_Thailand;GCA_963568385_1	True
3	167	IP-0081;GCF_001980775_1_Thailand;GCA_963568705_1;IP-0030;IP-0079;IP-0106;IP-0152;GCA_963572615_1;IP-0035;IP-0071;IP-0120;IE-0022;IP-0177;IP-0084;IP-0161;IP-0139;IP-0124;IP-0031;IP-0043;IP-0018;IP-0191;IP-0144;IP-0019;IP-0005;IP-0156;IP-0015;GCA_963565395_1;GCA_963566675_1;IP-0143;IP-0141;IE-0019;IP-0182;IP-0131;IP-0014;IP-0066;IP-0165;IP-0140;IE-0015;GCA_963563305_1;IP-0021;IP-0122;IP-0090;IP-0154;IP-0052;IE-0026;IE-0013;GCA_963567115_1;IP-0132;IP-0062;GCA_963560585_1;IP-0086;IP-0178;ERS008814;GCF_001321205_1_Thailand;ERS008834;GCF_001321185_1_Thailand;GCF_001321285_1_Thailand;GCF_001321565_1_Thailand;GCF_001202415_1_Thailand;GCF_001210705_1_Thailand;GCF_001321125_1_Thailand;ERS008805;GCF_001321405_1_Thailand;ERS008831;GCF_001977185_1_Thailand_Ubon;GCF_001321465_1_Thailand;GCF_001211405_1_Thailand;GCF_001197015_1_Thailand;ERS008807;GCF_001211565_1_Thailand;GCF_001321085_1_Thailand;GCF_001191815_1_Thailand;GCF_001210965_1_Thailand;GCF_001199195_1_Thailand;ERS008815;GCF_001212325_1_Thailand;GCF_001321585_1_Thailand;GCF_001320945_1_Thailand;GCF_001977245_1_Thailand_Ubon;ERS008847;GCF_001321065_1_Thailand;GCF_001321245_1_Thailand;GCF_001200615_1_Thailand;GCF_001977545_1_Thailand_Ubon;GCF_001321225_1_Thailand;GCF_001321625_1_Thailand;GCF_001197775_1_Thailand;ERS008832;ERS008842;GCF_001194765_1_Thailand;ERS008788;ERS008800;GCF_001196775_1_Thailand;GCF_001320985_1_Thailand;ERS008783;ERS008787;GCF_001320905_1_Thailand;GCF_001193655_1_Thailand;GCF_001197795_1_Thailand;ERS008789;GCF_001211505_1_Thailand;ERS008812;GCF_001321485_1_Thailand;GCF_001209505_1_Thailand;GCF_001199815_1_Thailand;GCF_001211865_1_Thailand;ERS008840;GCF_001204515_1_Thailand;GCF_001321325_1_Thailand;ERS008846;GCF_001321365_1_Thailand;ERS008811;ERS008839;GCF_001199695_1_Thailand;GCF_001321165_1_Thailand;GCF_001321385_1_Thailand;GCF_001193035_1_Thailand;GCF_001321545_1_Thailand;GCF_001192815_1_Thailand;GCF_001321505_1_Thailand;ERS008826;ERS008796;ERS008845;GCF_001321305_1_Thailand;ERS008799;GCF_001321425_1_Thailand;GCF_001320865_1_Thailand;GCF_001978015_1_Thailand_Ubon;GCF_001321445_1_Thailand;ERS008810;GCF_001321105_1_Thailand;ERS008780;GCF_001321145_1_Thailand;GCF_001192415_1_Thailand;GCF_001321015_1_Thailand;ERS008843;GCF_001321605_1_Thailand;ERS008818;GCF_001193615_1_Thailand;GCA_963564755_1;GCF_001977225_1_Thailand_Ubon;GCF_001321045_1_Thailand;ERS008802;GCF_001212025_1_Thailand;GCF_001321265_1_Thailand;GCF_001321345_1_Thailand;ERS008806;GCF_001211345_1_Thailand;ERS008793;ERS008801;ERS008779;GCF_001978045_1_Thailand_Ubon;ERS008823;GCF_001206495_1_Thailand;GCF_001977195_1_Thailand_Ubon;GCF_001321525_1_Thailand;ERS008808;GCF_001196125_1_Thailand;GCF_001207675_1_Thailand;GCF_001205935_1_Thailand;GCF_001977495_1_Thailand_Ubon;ERS008791;GCF_001320825_1_Thailand;GCF_001209405_1_Thailand;GCF_001208545_1_Thailand;GCF_001977525_1_Thailand_Ubon;ERS008827	True
32	56	IP-0006;IP-0037;GCF_001976275_1_Thailand;GCA_963562925_1;GCA_963570535_1;GCA_963561175_1;GCA_963561195_1;GCA_963562635_1;GCA_963566685_1;GCA_963570905_1;GCF_900596735_1_Thailand;GCA_963563265_1;GCF_900593035_1_Thailand;GCA_963568965_1;GCA_963572705_1;GCF_900596065_2_Thailand;GCA_963561185_1;GCF_900591505_1_Thailand;GCA_963565225_1;ERS012368;GCA_963569135_1;GCA_963566305_1;GCA_963569005_1;GCA_963568045_1;GCA_963570995_1;GCA_963567065_1;GCA_963561425_1;GCA_963565115_1;GCA_963571765_1;GCF_900596725_1_Thailand;GCA_963568725_1;GCA_963563365_1;GCA_963563165_1;GCA_963566365_1;GCA_963565435_1;GCA_963571025_1;GCA_963572815_1;GCA_001327495_2;GCF_900593005_1_Thailand;GCA_963572825_1;GCA_963562575_1;GCA_900596065_2;GCA_963565245_1;GCF_001327495_2_Thailand;GCA_963566995_1;GCF_900591565_1_Thailand;GCF_900591945_1_Thailand;GCA_963567375_1;GCF_001980735_1_Thailand;GCA_963572115_1;GCA_963573085_1;GCA_963567655_1;GCA_963569885_1;GCA_963568125_1;GCA_963564015_1;GCA_963562805_1	True
33	28	GCF_025848015_1_Viet_Nam;GCF_025847635_1_Viet_Nam;GCA_963566225_1;GCA_963564885_1;GCF_900593535_1_Thailand;GCA_963560905_1;GCA_963567255_1;GCA_963561115_1;GCA_963566135_1;GCA_963564035_1;GCF_900591645_1_Thailand;GCA_963561135_1;GCF_900591515_1_Thailand;GCA_963568245_1;GCA_963567605_1;GCA_963567645_1;GCF_900593875_1_Thailand;GCA_963566205_1;GCF_900592335_1_Thailand;GCA_963567235_1;GCA_963563885_1;GCA_963567945_1;GCA_963566235_1;GCA_963567365_1;GCA_963565775_1;GCA_963562545_1;GCA_963561505_1;GCA_963573875_1	True
34	15	GCF_014713055_1_Laos;GCF_014713085_1_Laos;GCA_963568835_1;GCF_001980645_1_Malaysia;GCA_963564005_1;GCF_001980625_1_Malaysia;GCA_963565875_1;GCF_037966645_1_China_Sanya_Hainan_Province;GCA_963571945_1;GCA_963560755_1;GCA_963562345_1;GCA_963565605_1;GCA_963571185_1;GCA_963560415_1;GCA_963571665_1	True
35	9	GCF_014713015_1_Laos;GCF_014712945_1_Laos;GCA_963562245_1;GCA_963570585_1;GCA_963569115_1;GCA_963564405_1;GCA_963570075_1;GCA_963561265_1;GCA_963569585_1	True
36	22	IP-0176;GCA_963573095_1;GCA_001327435_2;GCF_900594845_1_Thailand;GCF_900594805_1_Thailand;GCA_963567335_1;GCF_900594855_1_Thailand;GCF_900594885_1_Thailand;GCF_900594825_1_Thailand;GCF_900597515_1_Thailand;GCF_001327435_2_Thailand;GCF_900594775_2_Thailand;GCA_900594775_2;GCF_900594865_1_Thailand;GCA_963568185_1;GCA_963561675_1;GCF_900597575_1_Thailand;GCF_900594835_1_Thailand;GCA_963567025_1;GCF_900593885_1_Thailand;GCA_963561235_1;GCF_900594815_1_Thailand	True
37	6	GCA_963562965_1;IP-0096;GCA_963566815_1;GCA_963566655_1;GCA_963564685_1;GCA_963569675_1	True
